bookingStatus,status1Day,status1Month,status1Week,status2Days,labels,travelClass
98,41.1812942532521,40.13770644335892,42.39598732840549,2.0,1,3
236,44.0,37.0,42.0,61.0,0,3
200,25.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
68,41.1812942532521,40.13770644335892,42.39598732840549,27.0,0,3
213,9.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
247,11.0,40.13770644335892,51.0,41.076940084015035,0,3
2,2.0,40.13770644335892,42.39598732840549,41.076940084015035,0,1
188,41.1812942532521,40.13770644335892,49.0,41.076940084015035,0,3
245,41.1812942532521,40.13770644335892,75.0,41.076940084015035,0,3
88,41.1812942532521,40.13770644335892,42.39598732840549,55.0,0,3
87,15.0,15.0,15.0,21.0,0,3
328,57.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
18,12.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
268,41.1812942532521,40.13770644335892,42.39598732840549,101.0,0,3
281,38.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
292,75.0,88.0,108.0,41.076940084015035,0,3
31,41.1812942532521,40.13770644335892,42.39598732840549,41.076940084015035,1,3
20,2.0,40.13770644335892,42.39598732840549,41.076940084015035,0,1
182,43.0,45.0,49.0,13.0,0,3
20,47.0,40.13770644335892,42.39598732840549,27.0,0,1
245,41.1812942532521,40.13770644335892,42.39598732840549,87.0,0,3
316,76.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
48,41.1812942532521,40.13770644335892,42.39598732840549,29.0,0,3
190,41.1812942532521,83.0,42.39598732840549,41.076940084015035,0,3
56,41.1812942532521,40.13770644335892,42.39598732840549,15.0,0,3
37,41.1812942532521,19.0,42.39598732840549,41.076940084015035,0,3
168,49.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
14,41.1812942532521,40.13770644335892,42.39598732840549,41.076940084015035,1,1
25,41.1812942532521,40.13770644335892,42.39598732840549,10.0,0,3
2,8.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
70,11.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
54,45.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
6,10.0,40.13770644335892,42.39598732840549,4.0,0,1
79,41.1812942532521,24.0,42.39598732840549,41.076940084015035,0,3
38,41.1812942532521,40.13770644335892,59.0,41.076940084015035,0,3
2,4.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
125,41.1812942532521,10.0,42.39598732840549,41.076940084015035,0,3
24,65.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
85,41.1812942532521,40.13770644335892,42.39598732840549,16.0,0,3
38,41.1812942532521,40.13770644335892,42.39598732840549,41.076940084015035,1,3
130,1.0,40.13770644335892,8.0,41.076940084015035,0,3
29,41.1812942532521,40.13770644335892,42.39598732840549,41.076940084015035,1,3
18,41.1812942532521,40.13770644335892,17.0,41.076940084015035,1,3
31,41.1812942532521,40.13770644335892,7.0,19.0,0,5
165,41.1812942532521,40.13770644335892,26.0,41.076940084015035,0,3
76,41.1812942532521,40.13770644335892,15.0,24.0,0,1
25,41.1812942532521,40.13770644335892,42.39598732840549,2.0,0,3
249,41.1812942532521,39.0,32.0,41.076940084015035,0,3
80,61.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
79,41.1812942532521,40.13770644335892,42.39598732840549,41.076940084015035,1,3
157,41.1812942532521,40.13770644335892,42.39598732840549,60.0,1,3
18,7.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
93,22.0,40.13770644335892,42.39598732840549,41.076940084015035,0,5
3,41.1812942532521,1.0,42.39598732840549,41.076940084015035,0,1
79,41.1812942532521,71.0,42.39598732840549,41.076940084015035,0,3
249,41.1812942532521,8.0,16.0,41.076940084015035,0,3
87,41.1812942532521,40.13770644335892,34.0,52.0,0,3
337,55.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
358,47.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
113,41.0,28.0,42.39598732840549,41.076940084015035,0,1
94,41.1812942532521,40.13770644335892,6.0,23.0,1,3
7,41.1812942532521,40.13770644335892,42.39598732840549,41.076940084015035,1,3
399,55.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
164,65.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
60,41.1812942532521,40.13770644335892,42.39598732840549,41.076940084015035,1,3
60,41.1812942532521,40.13770644335892,42.39598732840549,41.076940084015035,1,3
358,76.0,116.0,42.39598732840549,41.076940084015035,0,3
34,41.1812942532521,23.0,42.39598732840549,41.076940084015035,0,3
55,41.1812942532521,27.0,42.39598732840549,41.076940084015035,0,3
49,16.0,31.0,42.39598732840549,41.076940084015035,0,1
327,41.1812942532521,82.0,42.39598732840549,41.076940084015035,0,3
2,2.0,2.0,42.39598732840549,41.076940084015035,0,3
185,47.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
3,65.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
55,10.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
59,68.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
146,5.0,40.13770644335892,42.39598732840549,41.076940084015035,0,1
31,10.0,40.13770644335892,42.39598732840549,41.076940084015035,0,1
40,41.1812942532521,26.0,42.39598732840549,41.076940084015035,0,1
87,41.1812942532521,40.13770644335892,2.0,41.076940084015035,0,3
211,50.0,57.0,65.0,41.076940084015035,0,1
210,41.1812942532521,54.0,58.0,41.076940084015035,0,3
9,41.1812942532521,40.13770644335892,42.39598732840549,41.076940084015035,1,3
97,45.0,63.0,42.39598732840549,41.076940084015035,0,3
65,41.1812942532521,55.0,42.39598732840549,41.076940084015035,0,5
53,25.0,37.0,42.39598732840549,41.076940084015035,0,3
31,19.0,40.13770644335892,42.39598732840549,41.076940084015035,0,1
299,29.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
94,43.0,46.0,42.39598732840549,41.076940084015035,0,3
31,17.0,29.0,42.39598732840549,41.076940084015035,0,3
238,41.1812942532521,40.13770644335892,75.0,76.0,0,3
85,42.0,58.0,42.39598732840549,41.076940084015035,0,3
313,54.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
217,9.0,33.0,53.0,77.0,0,3
1,41.1812942532521,40.13770644335892,42.39598732840549,1.0,0,3
311,30.0,40.13770644335892,99.0,41.076940084015035,0,3
21,51.0,40.13770644335892,42.39598732840549,41.076940084015035,0,1
278,52.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
125,41.1812942532521,40.13770644335892,50.0,41.076940084015035,0,1
36,41.1812942532521,28.0,42.39598732840549,41.076940084015035,0,3
42,17.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
36,41.1812942532521,28.0,42.39598732840549,41.076940084015035,0,3
131,41.1812942532521,40.13770644335892,49.0,41.076940084015035,0,3
2,41.1812942532521,2.0,42.39598732840549,41.076940084015035,0,3
29,41.1812942532521,27.0,6.0,41.076940084015035,0,1
143,41.1812942532521,40.13770644335892,62.0,41.076940084015035,0,3
39,41.1812942532521,40.13770644335892,6.0,41.076940084015035,0,1
1,41.1812942532521,40.13770644335892,42.39598732840549,41.076940084015035,1,3
50,41.1812942532521,40.13770644335892,4.0,16.0,0,1
10,3.0,40.13770644335892,42.39598732840549,41.076940084015035,0,1
74,41.1812942532521,40.13770644335892,42.39598732840549,30.0,0,3
23,41.1812942532521,40.13770644335892,42.39598732840549,15.0,0,1
27,50.0,40.13770644335892,42.39598732840549,41.076940084015035,0,3
98,26.0,40.13770644335892,42.39598732840549,41.076940084015035,0,1
98,26.0,40.13770644335892,42.39598732840549,41.076940084015035,0,1
87,19.0,40.13770644335892,42.39598732840549,41.076940084015035,0,1
